2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
0.0003625 0.0287109375 0.03564453125	0.02880859375 1.173828125
0.000365 0.028515625 0.035546875	0.0287109375 1.173828125
0.0003675 0.0287109375 0.0357421875	0.02890625 1.1748046875
0.00037 0.0287109375 0.03564453125	0.0287109375 1.1748046875
0.0003725 0.02880859375 0.0357421875	0.0287109375 1.1748046875
0.000375 0.02900390625 0.03642578125	0.02861328125 1.173828125
0.0003775 0.02880859375 0.0359375	0.0287109375 1.1748046875
0.00038 0.02861328125 0.0357421875	0.02880859375 1.1748046875
0.0003825 0.02861328125 0.03564453125	0.02880859375 1.17578125
0.000385 0.028515625 0.03515625	0.02861328125 1.173828125
0.0003875 0.0287109375 0.03583984375	0.02861328125 1.173828125
0.00039 0.028515625 0.035546875	0.02841796875 1.173828125
0.0003925 0.02861328125 0.03525390625	0.02861328125 1.1748046875
0.000395 0.028515625 0.0353515625	0.02861328125 1.173828125
0.0003975 0.02861328125 0.0357421875	0.028515625 1.173828125
0.0004 0.0287109375 0.0359375	0.02841796875 1.173828125
0.0004025 0.02861328125 0.03544921875	0.028515625 1.173828125
0.000405 0.02880859375 0.03623046875	0.0283203125 1.1728515625
0.0004075 0.028515625 0.03544921875	0.02841796875 1.173828125
0.00041 0.028515625 0.03544921875	0.02841796875 1.173828125
0.0004125 0.028515625 0.035546875	0.02822265625 1.173828125
0.000415 0.028515625 0.03544921875	0.0283203125 1.173828125
0.0004175 0.02841796875 0.03515625	0.028515625 1.1748046875
0.00042 0.02841796875 0.035546875	0.0283203125 1.173828125
0.0004225 0.02841796875 0.0353515625	0.02822265625 1.173828125
0.000425 0.028515625 0.035546875	0.02822265625 1.173828125
0.0004275 0.028515625 0.03544921875	0.02822265625 1.173828125
0.00043 0.028515625 0.035546875	0.02822265625 1.173828125
0.0004325 0.02841796875 0.03525390625	0.02841796875 1.173828125
0.000435 0.028515625 0.0357421875	0.02822265625 1.173828125
0.0004375 0.02841796875 0.03525390625	0.02822265625 1.173828125
0.00044 0.0283203125 0.03525390625	0.028125 1.1728515625
0.0004425 0.0283203125 0.03515625	0.028125 1.1728515625
0.000445 0.0283203125 0.03525390625	0.028125 1.173828125
0.0004475 0.02822265625 0.03505859375	0.028125 1.173828125
0.00045 0.028515625 0.035546875	0.02841796875 1.1748046875
0.0004525 0.02822265625 0.03515625	0.02802734375 1.1728515625
0.000455 0.028125 0.034765625	0.02822265625 1.173828125
0.0004575 0.02822265625 0.0349609375	0.02802734375 1.173828125
0.00046 0.028125 0.03505859375	0.02861328125 1.1748046875
0.0004625 0.02822265625 0.03505859375	0.02822265625 1.173828125
0.000465 0.028125 0.03505859375	0.02802734375 1.1728515625
0.0004675 0.028125 0.034765625	0.02802734375 1.1728515625
0.00047 0.02802734375 0.034765625	0.02802734375 1.1728515625
0.0004725 0.028125 0.034765625	0.02802734375 1.173828125
0.000475 0.028125 0.03544921875	0.02802734375 1.1728515625
0.0004775 0.02802734375 0.034765625	0.02802734375 1.173828125
0.00048 0.028125 0.0349609375	0.02783203125 1.1728515625
0.0004825 0.0279296875 0.0345703125	0.0279296875 1.1728515625
0.000485 0.02783203125 0.034375	0.0279296875 1.1728515625
0.0004875 0.0279296875 0.034765625	0.0279296875 1.1728515625
