2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
0.00997 0.004296875 0.0017578125	0.00419921875 1.09765625
0.0099725 0.0041015625 0.0013671875	0.00419921875 1.09765625
0.009975 0.0041015625 0.0015625	0.004296875 1.09765625
0.0099775 0.00419921875 0.0013671875	0.0041015625 1.0966796875
0.00998 0.00419921875 0.0015625	0.00419921875 1.0966796875
0.0099825 0.00400390625 0.00146484375	0.0041015625 1.0966796875
0.009985 0.00419921875 0.00166015625	0.004296875 1.0966796875
0.0099875 0.00400390625 0.00146484375	0.00380859375 1.095703125
0.00999 0.0041015625 0.0013671875	0.00419921875 1.0966796875
0.0099925 0.00419921875 0.00185546875	0.0041015625 1.09765625
0.009995 0.00400390625 0.0015625	0.00419921875 1.0966796875
0.0099975 0.00419921875 0.0015625	0.004296875 1.0986328125
0.01 0.00419921875 0.00146484375	0.00419921875 1.0966796875
0.0100025 0.0041015625 0.0017578125	0.00419921875 1.0966796875
0.010005 0.0041015625 0.00146484375	0.00419921875 1.09765625
0.0100075 0.00390625 0.001171875	0.00458984375 1.09765625
0.01001 0.00419921875 0.0013671875	0.00439453125 1.09765625
0.0100125 0.00419921875 0.00146484375	0.004296875 1.09765625
0.010015 0.0041015625 0.0015625	0.0041015625 1.0966796875
0.0100175 0.0041015625 0.0013671875	0.00390625 1.0966796875
0.01002 0.0041015625 0.0017578125	0.0041015625 1.09765625
0.0100225 0.0041015625 0.0015625	0.00419921875 1.0966796875
0.010025 0.0041015625 0.00166015625	0.00419921875 1.0966796875
0.0100275 0.00400390625 0.00146484375	0.004296875 1.09765625
0.01003 0.0041015625 0.00126953125	0.0041015625 1.0966796875
0.0100325 0.00400390625 0.0013671875	0.0041015625 1.0966796875
0.010035 0.0041015625 0.0015625	0.0041015625 1.09765625
0.0100375 0.0041015625 0.00146484375	0.00400390625 1.095703125
0.01004 0.0041015625 0.00166015625	0.00400390625 1.0966796875
0.0100425 0.0041015625 0.0013671875	0.0041015625 1.0966796875
0.010045 0.0041015625 0.00166015625	0.00400390625 1.0966796875
0.0100475 0.0041015625 0.0013671875	0.00380859375 1.0966796875
0.01005 0.00380859375 0.00068359375	0.00419921875 1.09765625
0.0100525 0.0041015625 0.0013671875	0.0041015625 1.0966796875
0.010055 0.00400390625 0.00146484375	0.0041015625 1.0966796875
0.0100575 0.00390625 0.0013671875	0.004296875 1.09765625
0.01006 0.00400390625 0.00166015625	0.00419921875 1.0966796875
0.0100625 0.0041015625 0.0013671875	0.004296875 1.0966796875
0.010065 0.00400390625 0.00146484375	0.0041015625 1.0966796875
0.0100675 0.00400390625 0.00126953125	0.00400390625 1.095703125
0.01007 0.00458984375 0.00263671875	0.0041015625 1.0966796875
0.0100725 0.00400390625 0.00146484375	0.0041015625 1.0966796875
0.010075 0.0041015625 0.0015625	0.0041015625 1.0966796875
0.0100775 0.00400390625 0.00146484375	0.0041015625 1.09765625
0.01008 0.00390625 0.0009765625	0.00400390625 1.0966796875
0.0100825 0.0041015625 0.00166015625	0.0041015625 1.0966796875
0.010085 0.00390625 0.0013671875	0.0041015625 1.0966796875
0.0100875 0.00400390625 0.0015625	0.00419921875 1.095703125
0.01009 0.00400390625 0.0017578125	0.00390625 1.0966796875
0.0100925 0.00400390625 0.00146484375	0.0041015625 1.095703125
0.010095 0.0041015625 0.0015625	0.00400390625 1.0966796875
0.0100975 0.00419921875 0.00166015625	0.00400390625 1.0966796875
0.0101 0.00400390625 0.0013671875	0.0041015625 1.095703125
0.0101025 0.00400390625 0.0013671875	0.00419921875 1.0966796875
0.010105 0.00390625 0.00126953125	0.00400390625 1.095703125
0.0101075 0.00390625 0.00107421875	0.00419921875 1.0966796875
0.01011 0.00361328125 0.00048828125	0.00400390625 1.095703125
0.0101125 0.00400390625 0.00146484375	0.00400390625 1.0966796875
0.010115 0.00390625 0.00126953125	0.00400390625 1.095703125
0.0101175 0.00390625 0.0013671875	0.00400390625 1.0966796875
0.01012 0.0041015625 0.00185546875	0.00400390625 1.0966796875
0.0101225 0.0041015625 0.00166015625	0.00400390625 1.095703125
0.010125 0.00400390625 0.00146484375	0.00400390625 1.0966796875
0.0101275 0.00400390625 0.00146484375	0.00419921875 1.0966796875
0.01013 0.00400390625 0.0009765625	0.00400390625 1.0966796875
0.0101325 0.00390625 0.00146484375	0.00400390625 1.095703125
0.010135 0.00400390625 0.00146484375	0.00390625 1.095703125
0.0101375 0.00400390625 0.0013671875	0.00390625 1.095703125
0.01014 0.00390625 0.0013671875	0.00400390625 1.095703125
0.0101425 0.0041015625 0.00146484375	0.00390625 1.095703125
0.010145 0.00390625 0.0013671875	0.00400390625 1.095703125
0.0101475 0.0041015625 0.0017578125	0.00380859375 1.095703125
0.01015 0.0041015625 0.0017578125	0.00400390625 1.0966796875
0.0101525 0.0041015625 0.00126953125	0.00400390625 1.095703125
0.010155 0.0041015625 0.0015625	0.0041015625 1.095703125
0.0101575 0.00400390625 0.00166015625	0.0041015625 1.095703125
0.01016 0.00390625 0.0013671875	0.0041015625 1.095703125
0.0101625 0.00400390625 0.00126953125	0.00400390625 1.095703125
0.010165 0.00380859375 0.00126953125	0.00400390625 1.095703125
0.0101675 0.00380859375 0.001171875	0.00400390625 1.0966796875
0.01017 0.0041015625 0.00166015625	0.00400390625 1.095703125
0.0101725 0.00390625 0.0013671875	0.00400390625 1.095703125
0.010175 0.00400390625 0.0015625	0.00400390625 1.095703125
0.0101775 0.00390625 0.0015625	0.00390625 1.0947265625
0.01018 0.00380859375 0.00126953125	0.00400390625 1.095703125
0.0101825 0.0041015625 0.001953125	0.00390625 1.095703125
0.010185 0.00400390625 0.0015625	0.00390625 1.095703125
0.0101875 0.00400390625 0.0015625	0.0037109375 1.095703125
0.01019 0.00400390625 0.0017578125	0.00390625 1.095703125
0.0101925 0.00390625 0.0013671875	0.0041015625 1.095703125
0.010195 0.00400390625 0.0015625	0.0041015625 1.095703125
0.0101975 0.00390625 0.00146484375	0.00390625 1.095703125
0.0102 0.0037109375 0.00087890625	0.00400390625 1.095703125
0.0102025 0.00400390625 0.0013671875	0.00400390625 1.095703125
0.010205 0.00400390625 0.0015625	0.0041015625 1.095703125
0.0102075 0.0041015625 0.00166015625	0.0041015625 1.095703125
0.01021 0.00380859375 0.0015625	0.00380859375 1.095703125
0.0102125 0.00390625 0.00146484375	0.00390625 1.095703125
0.010215 0.00380859375 0.001171875	0.00390625 1.095703125
0.0102175 0.00400390625 0.00146484375	0.00419921875 1.0966796875
0.01022 0.00390625 0.0009765625	0.00400390625 1.095703125
0.0102225 0.00390625 0.00146484375	0.00380859375 1.095703125
0.010225 0.00400390625 0.0013671875	0.00390625 1.095703125
0.0102275 0.00390625 0.0015625	0.00400390625 1.095703125
0.01023 0.0041015625 0.001953125	0.00390625 1.095703125
0.0102325 0.0041015625 0.001953125	0.00390625 1.0947265625
0.010235 0.00380859375 0.0013671875	0.00390625 1.095703125
0.0102375 0.00390625 0.0015625	0.00400390625 1.0947265625
0.01024 0.00390625 0.0013671875	0.0041015625 1.095703125
0.0102425 0.00380859375 0.00146484375	0.00390625 1.095703125
0.010245 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.0102475 0.00380859375 0.00126953125	0.00390625 1.095703125
0.01025 0.00361328125 0.00078125	0.00380859375 1.0947265625
0.0102525 0.00400390625 0.00146484375	0.00390625 1.0947265625
0.010255 0.00390625 0.0013671875	0.00390625 1.095703125
0.0102575 0.00400390625 0.0017578125	0.0037109375 1.0947265625
0.01026 0.0037109375 0.0009765625	0.00380859375 1.095703125
0.0102625 0.00380859375 0.0013671875	0.00390625 1.0947265625
0.010265 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.0102675 0.00380859375 0.0013671875	0.00390625 1.095703125
0.01027 0.0037109375 0.001171875	0.00380859375 1.095703125
0.0102725 0.00380859375 0.00126953125	0.00400390625 1.0947265625
0.010275 0.00380859375 0.00126953125	0.00390625 1.0947265625
0.0102775 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.01028 0.0041015625 0.0021484375	0.00390625 1.0947265625
0.0102825 0.00390625 0.00166015625	0.0041015625 1.0966796875
0.010285 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.0102875 0.00380859375 0.00126953125	0.00380859375 1.0947265625
0.01029 0.00400390625 0.00185546875	0.00380859375 1.0947265625
0.0102925 0.00380859375 0.00126953125	0.00380859375 1.0947265625
0.010295 0.00380859375 0.00126953125	0.00380859375 1.0947265625
0.0102975 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.0103 0.0041015625 0.00224609375	0.00380859375 1.0947265625
0.0103025 0.0037109375 0.0013671875	0.00380859375 1.0947265625
0.010305 0.00390625 0.0013671875	0.00390625 1.0947265625
0.0103075 0.00380859375 0.00166015625	0.00390625 1.095703125
0.01031 0.00380859375 0.0015625	0.00390625 1.0947265625
0.0103125 0.00380859375 0.0013671875	0.00390625 1.095703125
0.010315 0.00380859375 0.00126953125	0.0037109375 1.0947265625
0.0103175 0.0037109375 0.00146484375	0.00400390625 1.095703125
0.01032 0.00361328125 0.0013671875	0.00380859375 1.0947265625
0.0103225 0.00380859375 0.00126953125	0.00390625 1.0947265625
0.010325 0.0037109375 0.00126953125	0.00390625 1.0947265625
0.0103275 0.00380859375 0.00146484375	0.0041015625 1.0947265625
0.01033 0.00361328125 0.00087890625	0.0037109375 1.0947265625
0.0103325 0.0037109375 0.00126953125	0.00390625 1.0947265625
0.010335 0.00380859375 0.0013671875	0.0037109375 1.0947265625
0.0103375 0.00380859375 0.00126953125	0.00390625 1.0947265625
0.01034 0.00361328125 0.001171875	0.00380859375 1.0947265625
0.0103425 0.00361328125 0.0013671875	0.00390625 1.0947265625
0.010345 0.00380859375 0.0015625	0.00380859375 1.09375
0.0103475 0.0037109375 0.00107421875	0.00380859375 1.0947265625
0.01035 0.00380859375 0.00126953125	0.0037109375 1.09375
0.0103525 0.00390625 0.0013671875	0.0037109375 1.0947265625
0.010355 0.00380859375 0.0013671875	0.00380859375 1.0947265625
0.0103575 0.00361328125 0.0009765625	0.00400390625 1.0947265625
0.01036 0.00361328125 0.00107421875	0.00361328125 1.0947265625
0.0103625 0.0037109375 0.0013671875	0.00380859375 1.0947265625
0.010365 0.0037109375 0.00126953125	0.0037109375 1.0947265625
0.0103675 0.00380859375 0.001171875	0.00380859375 1.0947265625
0.01037 0.00380859375 0.00126953125	0.00380859375 1.0947265625
0.0103725 0.0037109375 0.00126953125	0.00380859375 1.0947265625
0.010375 0.0037109375 0.00126953125	0.00380859375 1.0947265625
0.0103775 0.00390625 0.0015625	0.00380859375 1.0947265625
0.01038 0.0037109375 0.00126953125	0.00380859375 1.0947265625
0.0103825 0.00361328125 0.0009765625	0.00390625 1.0947265625
0.010385 0.0037109375 0.00146484375	0.0037109375 1.09375
0.0103875 0.00380859375 0.001171875	0.00390625 1.09375
0.01039 0.00361328125 0.0015625	0.0037109375 1.09375
0.0103925 0.0037109375 0.0013671875	0.00380859375 1.0947265625
0.010395 0.0037109375 0.001171875	0.00380859375 1.09375
0.0103975 0.00361328125 0.0009765625	0.0037109375 1.09375
0.0104 0.0037109375 0.0015625	0.0037109375 1.0947265625
0.0104025 0.00380859375 0.0013671875	0.0037109375 1.09375
0.010405 0.0037109375 0.00126953125	0.00341796875 1.09375
0.0104075 0.0037109375 0.001171875	0.00380859375 1.0947265625
0.01041 0.00380859375 0.00146484375	0.00361328125 1.09375
0.0104125 0.0037109375 0.00126953125	0.00380859375 1.09375
0.010415 0.00380859375 0.0013671875	0.00390625 1.0947265625
0.0104175 0.0037109375 0.00146484375	0.00361328125 1.09375
0.01042 0.00380859375 0.00146484375	0.00380859375 1.09375
0.0104225 0.00380859375 0.0013671875	0.0037109375 1.09375
0.010425 0.00380859375 0.00146484375	0.00380859375 1.09375
0.0104275 0.0037109375 0.00126953125	0.00380859375 1.0947265625
0.01043 0.0037109375 0.00126953125	0.0037109375 1.09375
0.0104325 0.00361328125 0.00107421875	0.00390625 1.0947265625
0.010435 0.00361328125 0.001171875	0.0037109375 1.0947265625
0.0104375 0.00380859375 0.00146484375	0.00380859375 1.09375
0.01044 0.0037109375 0.00146484375	0.00380859375 1.09375
0.0104425 0.0037109375 0.00126953125	0.00361328125 1.09375
0.010445 0.00380859375 0.0013671875	0.00400390625 1.09375
0.0104475 0.00361328125 0.00126953125	0.0037109375 1.0947265625
0.01045 0.0037109375 0.00126953125	0.0037109375 1.09375
0.0104525 0.00361328125 0.001171875	0.00361328125 1.09375
0.010455 0.00361328125 0.00126953125	0.00341796875 1.09375
0.0104575 0.00361328125 0.0009765625	0.00361328125 1.09375
0.01046 0.003515625 0.00107421875	0.0037109375 1.09375
0.0104625 0.0037109375 0.0013671875	0.00400390625 1.0947265625
0.010465 0.00361328125 0.00126953125	0.00380859375 1.09375
0.0104675 0.0037109375 0.0015625	0.00361328125 1.09375
0.01047 0.00361328125 0.00107421875	0.00361328125 1.09375
0.0104725 0.0037109375 0.001171875	0.00380859375 1.09375
0.010475 0.00380859375 0.0015625	0.003515625 1.0927734375
0.0104775 0.00361328125 0.00068359375	0.0037109375 1.09375
0.01048 0.003515625 0.00107421875	0.0037109375 1.09375
0.0104825 0.003515625 0.0009765625	0.00361328125 1.09375
0.010485 0.00361328125 0.00126953125	0.00341796875 1.09375
0.0104875 0.003515625 0.00087890625	0.00390625 1.09375
0.01049 0.00361328125 0.0013671875	0.0037109375 1.09375
0.0104925 0.0037109375 0.0013671875	0.0037109375 1.09375
0.010495 0.0037109375 0.0013671875	0.0041015625 1.0947265625
0.0104975 0.004296875 0.002734375	0.0037109375 1.09375
0.0105 0.0037109375 0.00146484375	0.0037109375 1.09375
0.0105025 0.0037109375 0.00146484375	0.0037109375 1.09375
0.010505 0.0037109375 0.00146484375	0.003515625 1.0927734375
0.0105075 0.0033203125 0.00068359375	0.003515625 1.0927734375
0.01051 0.0037109375 0.00146484375	0.0037109375 1.09375
0.0105125 0.00361328125 0.001171875	0.00380859375 1.09375
0.010515 0.0037109375 0.0013671875	0.00361328125 1.0947265625
0.0105175 0.00380859375 0.001953125	0.00361328125 1.0927734375
0.01052 0.00361328125 0.0013671875	0.00361328125 1.09375
0.0105225 0.0037109375 0.00166015625	0.0037109375 1.0927734375
0.010525 0.00361328125 0.0013671875	0.00380859375 1.09375
0.0105275 0.00341796875 0.00048828125	0.00380859375 1.09375
0.01053 0.00361328125 0.00126953125	0.0037109375 1.09375
0.0105325 0.00361328125 0.0013671875	0.003515625 1.0927734375
0.010535 0.0037109375 0.00126953125	0.00361328125 1.09375
0.0105375 0.003515625 0.00126953125	0.00380859375 1.09375
0.01054 0.00361328125 0.0013671875	0.0037109375 1.09375
0.0105425 0.00361328125 0.001171875	0.00361328125 1.0927734375
0.010545 0.00361328125 0.0013671875	0.0037109375 1.09375
0.0105475 0.00361328125 0.0009765625	0.00361328125 1.0927734375
0.01055 0.0037109375 0.001171875	0.00361328125 1.0927734375
0.0105525 0.00380859375 0.0013671875	0.00361328125 1.09375
0.010555 0.00361328125 0.00146484375	0.00361328125 1.091796875
0.0105575 0.0033203125 0.00087890625	0.003515625 1.0927734375
0.01056 0.003515625 0.00146484375	0.00361328125 1.09375
0.0105625 0.00361328125 0.0013671875	0.0037109375 1.09375
0.010565 0.003515625 0.00126953125	0.0033203125 1.0927734375
0.0105675 0.00400390625 0.00185546875	0.00361328125 1.0927734375
0.01057 0.00361328125 0.0013671875	0.00361328125 1.0927734375
0.0105725 0.0037109375 0.0015625	0.0037109375 1.0927734375
0.010575 0.00361328125 0.0015625	0.00390625 1.09375
0.0105775 0.003515625 0.00078125	0.0037109375 1.0927734375
0.01058 0.0037109375 0.0013671875	0.0037109375 1.0927734375
0.0105825 0.00361328125 0.00126953125	0.003515625 1.0927734375
0.010585 0.00341796875 0.001171875	0.003515625 1.0927734375
0.0105875 0.0037109375 0.0021484375	0.00361328125 1.0927734375
0.01059 0.003515625 0.001171875	0.0037109375 1.0927734375
0.0105925 0.00361328125 0.00126953125	0.0037109375 1.0927734375
0.010595 0.00341796875 0.001171875	0.0033203125 1.091796875
0.0105975 0.003515625 0.00107421875	0.00361328125 1.0927734375
0.0106 0.00341796875 0.0009765625	0.003515625 1.0927734375
0.0106025 0.00341796875 0.0013671875	0.00361328125 1.0927734375
0.010605 0.003515625 0.00126953125	0.003515625 1.091796875
0.0106075 0.0033203125 0.0013671875	0.00341796875 1.0927734375
0.01061 0.00361328125 0.001171875	0.00361328125 1.0927734375
0.0106125 0.00361328125 0.00126953125	0.00380859375 1.0927734375
0.010615 0.003515625 0.001171875	0.003515625 1.0927734375
0.0106175 0.0037109375 0.0015625	0.00361328125 1.0927734375
0.01062 0.00361328125 0.0013671875	0.003515625 1.0927734375
0.0106225 0.003515625 0.001171875	0.0037109375 1.0927734375
0.010625 0.003515625 0.00126953125	0.0037109375 1.09375
0.0106275 0.00341796875 0.00068359375	0.00361328125 1.0927734375
0.01063 0.003515625 0.00146484375	0.00361328125 1.0927734375
0.0106325 0.00361328125 0.00126953125	0.00341796875 1.091796875
0.010635 0.003515625 0.0013671875	0.0037109375 1.0927734375
0.0106375 0.003515625 0.0013671875	0.003515625 1.0927734375
0.01064 0.003515625 0.001171875	0.00361328125 1.0927734375
0.0106425 0.003515625 0.00126953125	0.0037109375 1.0927734375
0.010645 0.003515625 0.00126953125	0.003515625 1.0927734375
0.0106475 0.003515625 0.00078125	0.00361328125 1.0927734375
0.01065 0.0033203125 0.0009765625	0.003515625 1.091796875
0.0106525 0.003515625 0.001171875	0.003515625 1.0927734375
0.010655 0.003515625 0.0013671875	0.003515625 1.091796875
0.0106575 0.003515625 0.00107421875	0.003515625 1.0927734375
0.01066 0.00341796875 0.001171875	0.003515625 1.091796875
0.0106625 0.003515625 0.001171875	0.0033203125 1.091796875
0.010665 0.003515625 0.0013671875	0.00341796875 1.091796875
0.0106675 0.00341796875 0.0009765625	0.00341796875 1.0927734375
0.01067 0.003515625 0.00126953125	0.003515625 1.091796875
0.0106725 0.00341796875 0.00107421875	0.00361328125 1.091796875
0.010675 0.00341796875 0.00126953125	0.003515625 1.0927734375
0.0106775 0.00322265625 0.00078125	0.00361328125 1.091796875
0.01068 0.003515625 0.00146484375	0.003515625 1.091796875
0.0106825 0.00341796875 0.001171875	0.0037109375 1.0927734375
0.010685 0.00341796875 0.00126953125	0.003515625 1.091796875
0.0106875 0.00341796875 0.00107421875	0.00341796875 1.091796875
0.01069 0.003515625 0.001171875	0.003515625 1.091796875
0.0106925 0.00361328125 0.00126953125	0.00361328125 1.091796875
0.010695 0.00341796875 0.00107421875	0.003515625 1.091796875
0.0106975 0.0037109375 0.0017578125	0.003515625 1.091796875
0.0107 0.00341796875 0.0009765625	0.003515625 1.091796875
0.0107025 0.00341796875 0.00107421875	0.00361328125 1.0927734375
0.010705 0.003515625 0.00126953125	0.0033203125 1.091796875
0.0107075 0.00380859375 0.00205078125	0.00341796875 1.091796875
0.01071 0.003515625 0.00126953125	0.003515625 1.091796875
0.0107125 0.00341796875 0.001171875	0.0033203125 1.091796875
0.010715 0.00341796875 0.00126953125	0.003515625 1.091796875
0.0107175 0.003515625 0.0015625	0.003515625 1.091796875
0.01072 0.00341796875 0.001171875	0.003515625 1.091796875
0.0107225 0.0033203125 0.0009765625	0.00361328125 1.091796875
0.010725 0.00341796875 0.001171875	0.00361328125 1.0927734375
0.0107275 0.00341796875 0.00126953125	0.00361328125 1.091796875
0.01073 0.00341796875 0.00107421875	0.00341796875 1.091796875
0.0107325 0.00341796875 0.0013671875	0.003515625 1.091796875
0.010735 0.00341796875 0.00107421875	0.0037109375 1.0927734375
0.0107375 0.0033203125 0.00087890625	0.0033203125 1.091796875
0.01074 0.003515625 0.00126953125	0.00341796875 1.091796875
0.0107425 0.00341796875 0.0013671875	0.003515625 1.091796875
0.010745 0.00341796875 0.00126953125	0.00341796875 1.091796875
0.0107475 0.0033203125 0.00078125	0.003515625 1.091796875
0.01075 0.00322265625 0.0009765625	0.00341796875 1.091796875
0.0107525 0.0033203125 0.001171875	0.003515625 1.091796875
0.010755 0.00341796875 0.0013671875	0.00341796875 1.091796875
0.0107575 0.00341796875 0.001171875	0.00341796875 1.091796875
0.01076 0.00341796875 0.001171875	0.00341796875 1.091796875
0.0107625 0.003515625 0.00126953125	0.0033203125 1.0908203125
0.010765 0.0033203125 0.00107421875	0.00341796875 1.0908203125
0.0107675 0.00341796875 0.001171875	0.003515625 1.091796875
0.01077 0.00341796875 0.00126953125	0.003515625 1.091796875
0.0107725 0.0033203125 0.0009765625	0.00341796875 1.091796875
0.010775 0.0033203125 0.00107421875	0.003515625 1.091796875
0.0107775 0.00341796875 0.001171875	0.00341796875 1.091796875
0.01078 0.00341796875 0.0013671875	0.00341796875 1.0908203125
0.0107825 0.00341796875 0.001171875	0.003515625 1.091796875
0.010785 0.00322265625 0.0009765625	0.00341796875 1.091796875
0.0107875 0.00341796875 0.00126953125	0.00341796875 1.0908203125
0.01079 0.0033203125 0.001171875	0.0033203125 1.0908203125
0.0107925 0.00341796875 0.001171875	0.00341796875 1.0908203125
0.010795 0.00341796875 0.00126953125	0.0033203125 1.0908203125
0.0107975 0.00341796875 0.0013671875	0.00341796875 1.091796875
0.0108 0.00341796875 0.00126953125	0.003515625 1.091796875
0.0108025 0.00341796875 0.0013671875	0.00341796875 1.0908203125
0.010805 0.00341796875 0.00126953125	0.0033203125 1.0908203125
0.0108075 0.00341796875 0.00146484375	0.003515625 1.091796875
0.01081 0.003515625 0.001171875	0.00341796875 1.091796875
0.0108125 0.00322265625 0.00126953125	0.0033203125 1.0908203125
0.010815 0.0033203125 0.00126953125	0.0033203125 1.0908203125
0.0108175 0.00341796875 0.0013671875	0.00341796875 1.0908203125
0.01082 0.00341796875 0.00107421875	0.0033203125 1.0908203125
0.0108225 0.00341796875 0.001171875	0.003125 1.0908203125
0.010825 0.0033203125 0.001171875	0.00341796875 1.0908203125
0.0108275 0.00322265625 0.001171875	0.00341796875 1.0908203125
0.01083 0.0033203125 0.0009765625	0.00341796875 1.0908203125
0.0108325 0.003515625 0.0013671875	0.0037109375 1.0927734375
0.010835 0.0033203125 0.0009765625	0.0033203125 1.091796875
0.0108375 0.00341796875 0.0013671875	0.00341796875 1.0908203125
0.01084 0.0033203125 0.001171875	0.0033203125 1.0908203125
0.0108425 0.00322265625 0.00126953125	0.003515625 1.0908203125
0.010845 0.0033203125 0.00107421875	0.0033203125 1.091796875
0.0108475 0.00341796875 0.00126953125	0.00341796875 1.0908203125
0.01085 0.0033203125 0.00126953125	0.00341796875 1.0908203125
0.0108525 0.00341796875 0.00126953125	0.00322265625 1.0908203125
0.010855 0.0033203125 0.001171875	0.00341796875 1.0908203125
0.0108575 0.003515625 0.00146484375	0.00341796875 1.0908203125
0.01086 0.0033203125 0.001171875	0.00341796875 1.0908203125
0.0108625 0.0033203125 0.00107421875	0.00341796875 1.08984375
0.010865 0.00341796875 0.001171875	0.00322265625 1.0908203125
0.0108675 0.00322265625 0.00107421875	0.0033203125 1.0908203125
0.01087 0.0033203125 0.0013671875	0.00341796875 1.0908203125
0.0108725 0.00322265625 0.001171875	0.00283203125 1.08984375
0.010875 0.003125 0.00078125	0.0033203125 1.0908203125
0.0108775 0.00322265625 0.0009765625	0.00341796875 1.0908203125
0.01088 0.00322265625 0.00107421875	0.0033203125 1.0908203125
0.0108825 0.0033203125 0.001171875	0.0037109375 1.091796875
0.010885 0.00361328125 0.001953125	0.00322265625 1.0908203125
0.0108875 0.00322265625 0.0009765625	0.0033203125 1.0908203125
0.01089 0.00322265625 0.00126953125	0.0033203125 1.0908203125
0.0108925 0.00322265625 0.001171875	0.00322265625 1.08984375
0.010895 0.003125 0.000390625	0.00341796875 1.0908203125
0.0108975 0.00341796875 0.001171875	0.0033203125 1.0908203125
0.0109 0.0033203125 0.0013671875	0.00322265625 1.0908203125
0.0109025 0.0033203125 0.00126953125	0.003515625 1.0908203125
0.010905 0.003515625 0.00205078125	0.0033203125 1.0908203125
0.0109075 0.00322265625 0.00107421875	0.003515625 1.0908203125
0.01091 0.00322265625 0.00126953125	0.0033203125 1.0908203125
0.0109125 0.003515625 0.00126953125	0.00341796875 1.08984375
0.010915 0.003515625 0.0013671875	0.0033203125 1.08984375
0.0109175 0.00322265625 0.001171875	0.00341796875 1.0908203125
0.01092 0.00341796875 0.00126953125	0.00322265625 1.0908203125
0.0109225 0.00341796875 0.00126953125	0.00322265625 1.091796875
0.010925 0.00302734375 0.00068359375	0.0033203125 1.0908203125
0.0109275 0.00322265625 0.001171875	0.00341796875 1.0908203125
0.01093 0.00322265625 0.0009765625	0.00322265625 1.0908203125
0.0109325 0.00322265625 0.00087890625	0.00361328125 1.0908203125
0.010935 0.00341796875 0.0013671875	0.0033203125 1.0908203125
0.0109375 0.00322265625 0.0013671875	0.00322265625 1.08984375
0.01094 0.00322265625 0.00126953125	0.0033203125 1.0908203125
0.0109425 0.00322265625 0.00107421875	0.0033203125 1.0908203125
0.010945 0.002734375 0	0.0033203125 1.08984375
0.0109475 0.0033203125 0.0013671875	0.00341796875 1.0908203125
0.01095 0.00341796875 0.0013671875	0.0033203125 1.08984375
0.0109525 0.0033203125 0.001171875	0.00322265625 1.0908203125
0.010955 0.0033203125 0.00166015625	0.0033203125 1.0908203125
0.0109575 0.00322265625 0.00107421875	0.00322265625 1.08984375
0.01096 0.00322265625 0.00107421875	0.00322265625 1.08984375
0.0109625 0.003125 0.00107421875	0.00322265625 1.08984375
0.010965 0.00341796875 0.00078125	0.00322265625 1.08984375
0.0109675 0.00322265625 0.00126953125	0.0033203125 1.08984375
0.01097 0.003125 0.0009765625	0.003125 1.08984375
0.0109725 0.003125 0.00107421875	0.00302734375 1.08984375
0.010975 0.00322265625 0.001171875	0.0033203125 1.08984375
0.0109775 0.003125 0.0009765625	0.00322265625 1.08984375
0.01098 0.00322265625 0.0009765625	0.0033203125 1.08984375
0.0109825 0.00322265625 0.00107421875	0.003515625 1.0908203125
0.010985 0.00361328125 0.001953125	0.00322265625 1.08984375
0.0109875 0.0033203125 0.00107421875	0.0033203125 1.08984375
0.01099 0.00322265625 0.001171875	0.0033203125 1.08984375
0.0109925 0.00322265625 0.00126953125	0.0033203125 1.08984375
0.010995 0.003125 0.00068359375	0.0033203125 1.0908203125
0.0109975 0.00322265625 0.00107421875	0.0033203125 1.08984375
0.011 0.00322265625 0.00087890625	0.00322265625 1.08984375
0.0110025 0.00322265625 0.00107421875	0.003125 1.08984375
0.011005 0.0033203125 0.0015625	0.00322265625 1.08984375
0.0110075 0.00302734375 0.00087890625	0.00322265625 1.08984375
0.01101 0.003125 0.00107421875	0.003125 1.08984375
0.0110125 0.0033203125 0.001171875	0.003125 1.0888671875
0.011015 0.00322265625 0.0009765625	0.00322265625 1.08984375
0.0110175 0.0033203125 0.001171875	0.00322265625 1.08984375
0.01102 0.00322265625 0.00126953125	0.00322265625 1.08984375
0.0110225 0.00322265625 0.00107421875	0.0033203125 1.08984375
0.011025 0.003125 0.0013671875	0.00322265625 1.08984375
0.0110275 0.003125 0.0009765625	0.00322265625 1.08984375
0.01103 0.003125 0.00107421875	0.00322265625 1.08984375
0.0110325 0.003125 0.0009765625	0.003515625 1.08984375
0.011035 0.0033203125 0.00126953125	0.00322265625 1.08984375
0.0110375 0.00322265625 0.00107421875	0.0033203125 1.08984375
0.01104 0.00322265625 0.001171875	0.0033203125 1.08984375
0.0110425 0.00322265625 0.00107421875	0.00341796875 1.08984375
0.011045 0.00302734375 0.00068359375	0.00322265625 1.08984375
0.0110475 0.00322265625 0.00126953125	0.00322265625 1.08984375
0.01105 0.00322265625 0.00107421875	0.00322265625 1.08984375
0.0110525 0.00322265625 0.001171875	0.0033203125 1.08984375
