Run Id		
Device	W1715f100	
Curve	Illuminated IV2	
Size [cm2]	0.25	
Temperature [C]	24.33	
Material	None	
Date	6/27/2013	
Time	3:04 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
0.859531116485596	0.00603014210550925	
0.86733226776123	0.00599788407175681	
0.875138711929322	0.00596061216979167	
0.882943296432496	0.00591938242628119	
0.890744590759278	0.00587242588712713	
0.89854187965393	0.00581784945293209	
0.90634217262268	0.00575505474894187	
0.914138746261596	0.00568079211129685	
0.921934175491332	0.00559247469841381	
0.929751777648924	0.00548842165931007	
0.937549066543578	0.00536715722023389	
0.945344352722168	0.00522486426248095	
0.953139925003052	0.00505845284401319	
0.960942649841308	0.00486529803215405	
0.968744087219238	0.00464147309153219	
0.976544094085694	0.00438133695474703	
0.984344673156738	0.00408126570596237	
0.992145538330068	0.00373595690666577	
0.99994025230407	0.00333619092902979	
1.00773382186889	0.00287270039166203	
1.0155279636383	0.00233747451179541	
1.02332196235656	0.00171443905323856	
1.03111510276794	0.000989815852289273	
