0.00032 0.02861328125 0.0439453125	0.0291015625 1.1650390625
0.000322 0.02861328125 0.04423828125	0.02900390625 1.1650390625
0.000324 0.02822265625 0.04306640625	0.02890625 1.1650390625
0.000326 0.02861328125 0.04384765625	0.0287109375 1.1640625
0.000328 0.0287109375 0.04384765625	0.02861328125 1.1630859375
0.00033 0.028515625 0.04384765625	0.02841796875 1.1630859375
0.000332 0.028515625 0.04375	0.029296875 1.166015625
0.000334 0.02880859375 0.04482421875	0.028125 1.162109375
0.000336 0.0287109375 0.04404296875	0.02880859375 1.1640625
0.000338 0.0283203125 0.04365234375	0.02861328125 1.1640625
0.00034 0.02822265625 0.0431640625	0.02861328125 1.1640625
0.000342 0.028515625 0.04375	0.02861328125 1.1640625
0.000344 0.028125 0.04296875	0.02841796875 1.1630859375
0.000346 0.028515625 0.0439453125	0.028515625 1.1630859375
0.000348 0.0287109375 0.04453125	0.02822265625 1.162109375
0.00035 0.0283203125 0.04375	0.028125 1.1611328125
0.000352 0.0283203125 0.0431640625	0.02802734375 1.1611328125
0.000354 0.0279296875 0.04248046875	0.028515625 1.1630859375
0.000356 0.02802734375 0.0431640625	0.028515625 1.1640625
0.000358 0.02822265625 0.04365234375	0.02841796875 1.1630859375
0.00036 0.0283203125 0.04365234375	0.02802734375 1.162109375
0.000362 0.028125 0.04326171875	0.028125 1.162109375
0.000364 0.02822265625 0.04365234375	0.02841796875 1.1630859375
0.000366 0.0283203125 0.04375	0.02783203125 1.1611328125
0.000368 0.02783203125 0.0427734375	0.02822265625 1.1630859375
0.00037 0.0283203125 0.04375	0.0283203125 1.1630859375
0.000372 0.02783203125 0.04267578125	0.02841796875 1.1630859375
0.000374 0.0283203125 0.04375	0.0283203125 1.1630859375
0.000376 0.02822265625 0.04345703125	0.028125 1.1630859375
0.000378 0.02822265625 0.04375	0.02822265625 1.162109375
0.00038 0.028515625 0.04443359375	0.02880859375 1.1650390625
0.000382 0.02822265625 0.04375	0.02783203125 1.1611328125
0.000384 0.028125 0.0431640625	0.02802734375 1.1630859375
0.000386 0.028515625 0.044140625	0.028125 1.1630859375
0.000388 0.028125 0.04326171875	0.028515625 1.1650390625
0.00039 0.028125 0.04345703125	0.02841796875 1.1630859375
0.000392 0.028125 0.0435546875	0.02802734375 1.162109375
0.000394 0.028125 0.04365234375	0.02880859375 1.1650390625
0.000396 0.02822265625 0.04365234375	0.02822265625 1.1630859375
0.000398 0.02861328125 0.044140625	0.0279296875 1.162109375
0.0004 0.02880859375 0.04501953125	0.027734375 1.16015625
0.000402 0.02822265625 0.04404296875	0.028125 1.162109375
0.000404 0.02802734375 0.0431640625	0.0283203125 1.1630859375
0.000406 0.027734375 0.042578125	0.02822265625 1.1630859375
0.000408 0.02841796875 0.0443359375	0.02763671875 1.1611328125
0.00041 0.028125 0.04365234375	0.0279296875 1.1611328125
0.000412 0.02802734375 0.04345703125	0.028515625 1.1640625
0.000414 0.028515625 0.04462890625	0.028125 1.162109375
0.000416 0.028125 0.044140625	0.0279296875 1.1611328125
0.000418 0.028125 0.04365234375	0.02802734375 1.162109375
0.00042 0.02802734375 0.043359375	0.0279296875 1.1630859375
0.000422 0.0279296875 0.04326171875	0.028125 1.1640625
