Run Id		
Device	W1715-2B100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.3	
Material	None	
Date	6/27/2013	
Time	3:29 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
0.418062686920164	0.002112381792713	
0.425458860397338	0.00211288247172911	
0.43285174369812	0.00211292298426111	
0.440245485305786	0.00211312089030821	
0.44766182899475	0.00211305653591831	
0.455059003829956	0.00211283716288587	
0.462457466125488	0.00211237941784045	
0.469859790802002	0.00211216009137413	
0.477261543273926	0.00211185489696643	
0.484661865234376	0.00211154970255874	
0.492058753967286	0.00211139235560975	
0.499458074569702	0.00211138518442593	
0.506857252120972	0.00211141377602897	
0.51425371170044	0.00211168083277724	
0.521649742126466	0.00211209806529066	
0.529048204421998	0.00211230072108287	
0.536445665359498	0.00211247478527205	
0.543860578536988	0.00211268461224811	
0.55125560760498	0.00211275851269441	
0.558652210235594	0.00211274896663803	
0.566051673889158	0.00211305173960705	
0.573452281951902	0.00211326394145569	
0.580853891372678	0.00211343320933363	
0.588258218765258	0.00211344275539003	
0.595661544799804	0.00211347139355919	
0.603063154220582	0.00211341658522567	
0.610460901260378	0.00211308037777624	
0.617856073379518	0.00211271800016245	
0.625253248214722	0.00211226020855089	
0.632649421691896	0.00211154253137489	
0.640065050125122	0.00211085111749549	
0.647463226318358	0.00211039099757752	
0.654860830307006	0.00210968766276915	
0.662255859375	0.00210907014933605	
0.66965947151184	0.00210867200893541	
0.677060222625732	0.00210778506388149	
0.6844624042511	0.00210637601939221	
0.691866874694826	0.00210437092845522	
0.69928936958313	0.00210135493342957	
0.706686401367188	0.00209759746593615	
0.714084005355836	0.00209341801618417	
0.721480464935302	0.00208889043805381	
0.728879928588866	0.00208417687480529	
0.736277389526366	0.00207959923808655	
0.743678140640258	0.00207511696879945	
0.751081037521362	0.00207001481120667	
0.758480501174928	0.00206472666849576	
0.765882396698	0.00205873998728774	
0.773288440704348	0.00205230748196326	
0.780689907073976	0.00204529080455383	
0.788086652755738	0.00203703914684435	
0.795506429672242	0.00202671084934105	
0.80290288925171	0.00201465879016747	
0.810299491882326	0.00200045856562633	
0.817692947387698	0.00198392186229308	
0.825091266632082	0.00196575911631067	
0.83248715400696	0.00194550070827087	
0.83987946510315	0.00192300591533263	
0.847271490097046	0.00189706597392639	
0.854668235778808	0.00186727317431204	
0.862068700790406	0.00183294804682217	
0.869470310211182	0.00179365903985879	
0.876874494552614	0.00174859078050783	
0.884278249740602	0.00169736177575967	
0.891700458526612	0.00163869650949915	
0.899098062515258	0.00157139094461877	
0.90649538040161	0.00149443180215735	
0.913890695571898	0.00140644817528505	
0.92128529548645	0.00130486756478626	
0.928680467605592	0.00118792801312361	
0.936076784133914	0.0010544183702134	
0.94347338676453	0.000901234444782183	
0.95087084770203	0.000726087395187521	
0.958273744583132	0.000527267748648478	
0.96567578315735	0.000302331740195108	
0.97307825088501	4.8296744162392E-05	
0.98048129081726	-0.00023820848747139	
0.987901639938358	-0.000560402593882588	
0.99529609680176	-0.000920519566543345	
1.002729177475	-0.00127975437409057	
1.0100598335266	-0.00172129370822377	
