Run Id		
Device	W1715-2E100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.38	
Material	None	
Date	6/27/2013	
Time	3:15 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
0.427446699142456	0.00930339848045774	
0.43497576713562	0.0093025567511148	
0.442503833770752	0.00930052553657956	
0.450032186508178	0.00929854424093432	
0.457559823989868	0.00929524922166532	
0.465093040466308	0.00929534943197436	
0.472626543045042	0.0092945699149794	
0.48016390800476	0.00929364958201118	
0.48769941329956	0.00929223583434292	
0.495237922668456	0.00929401205275724	
0.502773857116698	0.00929622692410418	
0.510305213928222	0.00929947407339284	
0.517834711074828	0.00930275940690704	
0.525361919403076	0.00930633568559356	
0.532890844345092	0.00930698425863452	
0.540418910980224	0.00930724409763284	
0.54794840812683	0.00930719399247832	
0.555475759506224	0.00930531290714212	
0.563010692596434	0.0093044426793284	
0.570542049407958	0.00930427094344564	
0.578079986572264	0.00930294772033162	
0.585617065429686	0.00929956701938576	
0.59315571784973	0.0092986563721723	
0.600690937042234	0.00929591697995132	
0.60822386741638	0.00929358047787612	
0.615756225585936	0.00929018785600132	
0.623289012908934	0.00928867631946272	
0.630820941925048	0.00928655905072158	
0.63835301399231	0.0092837408686108	
0.645884227752686	0.00927969017420476	
0.653414583206178	0.0092753246927685	
0.660943651199342	0.00926948585901922	
0.668479871749878	0.00926196375284858	
0.676015090942382	0.0092530994245834	
0.683549737930296	0.0092421655112929	
0.691084241867064	0.0092295889312453	
0.698620319366454	0.00921515976433226	
0.706150531768798	0.00919971973989674	
0.713681888580322	0.00918272757325836	
0.721215963363648	0.00916424305532644	
0.728745460510254	0.00914240633491942	
0.73627552986145	0.00911711720172832	
0.743806743621826	0.00908705038372942	
0.751338529586792	0.00905285873804756	
0.75886902809143	0.00901407045666642	
0.766406965255736	0.00897192047331996	
0.773944044113158	0.0089265328401751	
0.781479263305664	0.00887604044173426	
0.789013338088988	0.0088208847248978	
0.796568155288696	0.0087598994875378	
0.804118967056274	0.00869270121101804	
0.811666202545166	0.00861534146015114	
0.819214296340942	0.00853052647207446	
0.826762676239014	0.00843686373327442	
0.834290599822998	0.00833391459081836	
0.841817665100098	0.00821933527831502	
0.849346446990968	0.00809591072965928	
0.856877088546754	0.00796102299709388	
0.864413309097292	0.00781164900754162	
0.871949529647828	0.00764772673491904	
0.879486322402956	0.00746583002973862	
0.88702325820923	0.00726370592956014	
0.89455819129944	0.00703810002077884	
0.902085828781128	0.00678829220478004	
0.909614181518556	0.00650911596958106	
0.917143678665162	0.0061976936215586	
0.924673318862916	0.00584875136036938	
0.932203388214112	0.00545926359836526	
0.939730453491212	0.00502463365328082	
0.947260236740112	0.0045410683414019	
0.954787731170654	0.0040070035995967	
0.962321949005126	0.0034182432143069	
0.969855022430418	0.00276947284937418	
0.977391386032102	0.00205740237497306	
0.98492202758789	0.00127860567654065	
0.992455101013186	0.000428946215012588	
0.999981307983408	-0.000494081814488852	
1.00750465393068	-0.00149465066724875	
1.0150302886963	-0.00257638919511297	
1.0225503444672	-0.00365493506770066	
1.0300827026367	-0.00490606077592306	
